epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1142.29,0.89889,0.47687,1.12349,0.825,0.6055,0.75373,0.47713,1.4186,2.57822,1.5658,8.51333e-05,8.51333e-05,8.51333e-05
40,1171.31,0.89227,0.47437,1.11665,0.875,0.57798,0.74808,0.51791,1.30852,2.83068,1.45996,8.43851e-05,8.43851e-05,8.43851e-05
41,1199.8,0.89626,0.47016,1.1207,0.82432,0.55963,0.72851,0.50282,1.36185,2.90528,1.50456,8.3622e-05,8.3622e-05,8.3622e-05
42,1228.24,0.87796,0.47975,1.13157,0.92424,0.55963,0.76001,0.58066,1.18033,2.91485,1.33688,8.28443e-05,8.28443e-05,8.28443e-05
43,1257.91,0.92258,0.47778,1.13803,0.91071,0.46789,0.70418,0.51255,1.24555,3.41853,1.42894,8.20525e-05,8.20525e-05,8.20525e-05
44,1286.36,0.88648,0.47932,1.11394,0.85714,0.66055,0.79189,0.58994,1.0945,2.42142,1.28813,8.12468e-05,8.12468e-05,8.12468e-05
45,1316.1,0.86201,0.4654,1.09502,0.71818,0.72477,0.80514,0.61773,1.0613,1.92978,1.2325,8.04277e-05,8.04277e-05,8.04277e-05
46,1345.7,0.88557,0.46049,1.11989,0.7094,0.76147,0.80705,0.57504,1.15723,2.01827,1.34406,7.95954e-05,7.95954e-05,7.95954e-05
47,1374.6,0.82738,0.44276,1.08945,0.78947,0.55046,0.71348,0.52805,1.18932,2.8407,1.34203,7.87503e-05,7.87503e-05,7.87503e-05
48,1403.48,0.84099,0.45298,1.09128,0.87324,0.56881,0.74158,0.57627,1.12363,2.82745,1.28952,7.78929e-05,7.78929e-05,7.78929e-05
49,1432.16,0.82445,0.44577,1.07486,0.82895,0.57798,0.74362,0.54919,1.16448,2.6964,1.31298,7.70234e-05,7.70234e-05,7.70234e-05
50,1461.11,0.83558,0.4591,1.09297,0.90667,0.62385,0.78944,0.61708,1.04416,2.51254,1.22245,7.61423e-05,7.61423e-05,7.61423e-05
51,1490.05,0.83911,0.44749,1.08289,0.95238,0.55046,0.76242,0.57844,1.21068,2.8988,1.34255,7.525e-05,7.525e-05,7.525e-05
52,1518.79,0.85241,0.45847,1.10794,0.84286,0.54128,0.72803,0.48277,1.42713,2.84262,1.60339,7.43468e-05,7.43468e-05,7.43468e-05
53,1547.17,0.84487,0.46825,1.09298,0.81538,0.48624,0.67467,0.44948,1.40433,3.04652,1.60368,7.34332e-05,7.34332e-05,7.34332e-05
54,1575.83,0.83199,0.44888,1.09463,0.87013,0.61468,0.76489,0.55849,1.2792,2.56427,1.39887,7.25094e-05,7.25094e-05,7.25094e-05
55,1604.97,0.80351,0.43318,1.07404,0.90164,0.50459,0.72675,0.52478,1.29881,3.01732,1.4258,7.15761e-05,7.15761e-05,7.15761e-05
56,1633.66,0.8239,0.46102,1.08107,0.96774,0.55046,0.7678,0.57293,1.22378,2.83512,1.39114,7.06335e-05,7.06335e-05,7.06335e-05
57,1662.18,0.79054,0.43658,1.08266,0.92105,0.6422,0.80431,0.55617,1.30511,2.23576,1.43412,6.9682e-05,6.9682e-05,6.9682e-05
58,1690.81,0.80805,0.43208,1.09916,0.91176,0.56881,0.7581,0.51476,1.36866,2.68963,1.5126,6.87222e-05,6.87222e-05,6.87222e-05
59,1719.93,0.80679,0.44566,1.08072,0.94118,0.58716,0.76547,0.55024,1.32454,2.6953,1.46599,6.77543e-05,6.77543e-05,6.77543e-05
60,1748.48,0.77092,0.42586,1.06939,0.9661,0.52294,0.74248,0.51474,1.26976,3.178,1.43103,6.67789e-05,6.67789e-05,6.67789e-05
