epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1147.8,0.88785,0.4597,1.10211,0.98036,1,0.98041,0.7562,0.86614,0.40626,1.05881,8.43851e-05,8.43851e-05,8.43851e-05
41,1175.91,0.88463,0.46383,1.09919,0.98089,1,0.9863,0.79551,0.79943,0.40672,1.03508,8.3622e-05,8.3622e-05,8.3622e-05
42,1203.91,0.84566,0.47187,1.10464,0.9804,1,0.98659,0.78708,0.84554,0.38139,1.11338,8.28443e-05,8.28443e-05,8.28443e-05
43,1231.85,0.86146,0.45113,1.09587,0.9808,1,0.98838,0.77761,0.84422,0.38066,1.08875,8.20525e-05,8.20525e-05,8.20525e-05
44,1260.15,0.92318,0.47655,1.11611,0.98091,1,0.98354,0.80034,0.80272,0.3754,1.0538,8.12468e-05,8.12468e-05,8.12468e-05
45,1289.05,0.87621,0.47358,1.09298,0.98111,1,0.9937,0.8039,0.78321,0.39455,0.99887,8.04277e-05,8.04277e-05,8.04277e-05
46,1317.87,0.8858,0.46633,1.11322,0.98122,1,0.99287,0.7849,0.86665,0.3851,1.04131,7.95954e-05,7.95954e-05,7.95954e-05
47,1345.85,0.81757,0.44149,1.07688,0.98044,1,0.9877,0.78362,0.81289,0.3774,1.00328,7.87503e-05,7.87503e-05,7.87503e-05
48,1373.92,0.84909,0.4511,1.07899,0.9727,1,0.98743,0.81376,0.73012,0.36531,0.98623,7.78929e-05,7.78929e-05,7.78929e-05
49,1402.48,0.81759,0.43384,1.05101,0.99004,1,0.99464,0.81988,0.74857,0.35212,0.97564,7.70234e-05,7.70234e-05,7.70234e-05
50,1431.28,0.81194,0.44521,1.0743,0.98116,1,0.99018,0.82032,0.73066,0.35137,0.98156,7.61423e-05,7.61423e-05,7.61423e-05
51,1460.63,0.83996,0.45338,1.07876,0.97962,1,0.98608,0.83504,0.7127,0.33947,0.97444,7.525e-05,7.525e-05,7.525e-05
52,1489.5,0.82437,0.44267,1.08447,0.97219,1,0.98606,0.8175,0.72292,0.35927,0.98287,7.43468e-05,7.43468e-05,7.43468e-05
53,1517.47,0.84084,0.45901,1.07468,0.9809,1,0.98744,0.81523,0.74498,0.36864,1.03766,7.34332e-05,7.34332e-05,7.34332e-05
54,1545.55,0.83609,0.44914,1.09086,0.97768,1,0.98777,0.79658,0.75077,0.37435,1.02099,7.25094e-05,7.25094e-05,7.25094e-05
55,1573.88,0.81806,0.43138,1.0665,0.98136,1,0.98933,0.83268,0.70959,0.36236,0.9888,7.15761e-05,7.15761e-05,7.15761e-05
56,1602.25,0.80985,0.43925,1.04997,0.98026,1,0.98764,0.81155,0.788,0.37276,1.05693,7.06335e-05,7.06335e-05,7.06335e-05
57,1631.03,0.79813,0.42406,1.07189,0.97764,1,0.98603,0.81827,0.69107,0.35085,0.96899,6.9682e-05,6.9682e-05,6.9682e-05
58,1659.16,0.7831,0.42456,1.07003,0.98049,1,0.98383,0.80202,0.73442,0.36649,0.98892,6.87222e-05,6.87222e-05,6.87222e-05
59,1687.43,0.78325,0.43051,1.0484,0.98068,1,0.98821,0.8244,0.70571,0.34128,0.95148,6.77543e-05,6.77543e-05,6.77543e-05
60,1716.51,0.76851,0.41918,1.0352,0.97095,1,0.99087,0.83851,0.65779,0.3359,0.9486,6.67789e-05,6.67789e-05,6.67789e-05
61,1746.38,0.769,0.40016,1.0361,0.97218,1,0.98933,0.82564,0.76935,0.34746,1.04296,6.57963e-05,6.57963e-05,6.57963e-05
62,1775,0.7424,0.3937,1.02876,0.97253,1,0.99015,0.81487,0.77037,0.3459,1.04222,6.48071e-05,6.48071e-05,6.48071e-05
63,1803.16,0.75598,0.38862,1.03334,0.97255,1,0.99056,0.81389,0.73089,0.35151,0.99884,6.38115e-05,6.38115e-05,6.38115e-05
64,1831.37,0.75762,0.4078,1.02932,0.97266,1,0.989,0.84411,0.67945,0.33727,0.98289,6.28101e-05,6.28101e-05,6.28101e-05
65,1861.27,0.74351,0.39328,1.02664,0.97258,1,0.99108,0.83565,0.68165,0.33468,0.97809,6.18034e-05,6.18034e-05,6.18034e-05
66,1890.12,0.73405,0.39029,1.03363,0.97254,1,0.98938,0.82496,0.71901,0.33949,1.03595,6.07916e-05,6.07916e-05,6.07916e-05
67,1918.16,0.73715,0.38509,1.03259,0.9728,1,0.98754,0.8191,0.72885,0.32785,1.00158,5.97754e-05,5.97754e-05,5.97754e-05
68,1946.26,0.72262,0.37715,1.01232,0.98068,1,0.9842,0.82333,0.7153,0.33133,1.00103,5.87551e-05,5.87551e-05,5.87551e-05
69,1974.43,0.71717,0.37926,1.02315,0.98102,1,0.98996,0.82618,0.69834,0.32016,0.98687,5.77311e-05,5.77311e-05,5.77311e-05
