epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0114,1.73177,1.75743,2.264,0.82877,0.77481,0.85243,0.44167,1.68561,1.05503,2.15468,0.0668041,3.32292e-05,3.32292e-05
2,181.883,1.417,1.17544,1.91229,0.90679,0.9101,0.95359,0.58572,1.33229,0.74226,1.84064,0.0335041,6.65553e-05,6.65553e-05
3,270.522,1.32598,1.01268,1.82921,0.89263,0.89813,0.94934,0.58857,1.27156,0.7247,1.80755,0.000204019,9.98525e-05,9.98525e-05
4,359.544,1.27719,0.95782,1.77467,0.90472,0.94387,0.96089,0.60914,1.20371,0.64377,1.76424,9.99023e-05,9.99023e-05,9.99023e-05
5,448.116,1.23761,0.92656,1.7376,0.95043,0.91688,0.97344,0.63411,1.27081,0.62005,1.7228,9.98264e-05,9.98264e-05,9.98264e-05
6,534.633,1.19246,0.87764,1.7068,0.91264,0.95569,0.97949,0.63029,1.25239,0.60944,1.8068,9.97288e-05,9.97288e-05,9.97288e-05
7,619.762,1.16961,0.8442,1.68646,0.96116,0.96466,0.98636,0.6729,1.16491,0.5513,1.68353,9.96097e-05,9.96097e-05,9.96097e-05
8,706.425,1.13813,0.82151,1.64731,0.95581,0.94437,0.98425,0.66613,1.15857,0.58293,1.65893,9.9469e-05,9.9469e-05,9.9469e-05
9,792.24,1.13472,0.77915,1.64125,0.96741,0.96466,0.99061,0.68513,1.10572,0.52926,1.5951,9.93068e-05,9.93068e-05,9.93068e-05
10,879.611,1.12568,0.80315,1.63676,0.93848,0.95143,0.98166,0.65592,1.12391,0.56559,1.62193,9.91232e-05,9.91232e-05,9.91232e-05
11,964.995,1.07807,0.76106,1.5808,0.96508,0.98337,0.99048,0.71433,1.03448,0.50889,1.47157,9.89183e-05,9.89183e-05,9.89183e-05
12,1052.12,1.06264,0.72729,1.56837,0.94991,0.97297,0.98885,0.70634,1.0289,0.5147,1.5468,9.86922e-05,9.86922e-05,9.86922e-05
13,1137.51,1.07181,0.72077,1.59024,0.94137,0.9605,0.98479,0.71138,1.04198,0.52844,1.54227,9.84449e-05,9.84449e-05,9.84449e-05
14,1222.83,1.03172,0.69019,1.55247,0.95828,0.96466,0.98446,0.6992,1.06078,0.5189,1.56698,9.81765e-05,9.81765e-05,9.81765e-05
15,1308.28,1.03436,0.67895,1.55976,0.96301,0.97413,0.98566,0.72193,1.00918,0.5172,1.50189,9.78873e-05,9.78873e-05,9.78873e-05
16,1395.14,1.01088,0.68748,1.52471,0.96721,0.9812,0.99014,0.73583,0.94882,0.47488,1.41197,9.75773e-05,9.75773e-05,9.75773e-05
17,1481.99,0.99918,0.66165,1.51836,0.91796,0.97697,0.97206,0.69057,1.04159,0.51928,1.53806,9.72466e-05,9.72466e-05,9.72466e-05
18,1567.31,0.9921,0.66352,1.50213,0.97896,0.97505,0.99339,0.7554,0.92769,0.4441,1.39376,9.68955e-05,9.68955e-05,9.68955e-05
19,1655.32,0.9604,0.66146,1.4899,0.97166,0.98545,0.99225,0.74119,0.97073,0.46016,1.45895,9.65239e-05,9.65239e-05,9.65239e-05
20,1740.93,0.9532,0.65137,1.472,0.97668,0.97505,0.9928,0.76514,0.89355,0.43539,1.35632,9.61322e-05,9.61322e-05,9.61322e-05
21,1827.63,0.9575,0.64561,1.48275,0.98141,0.98765,0.99341,0.77362,0.90514,0.43057,1.38147,9.57205e-05,9.57205e-05,9.57205e-05
22,1913.51,0.93222,0.61992,1.46808,0.97826,0.97921,0.98907,0.75985,0.91986,0.43557,1.38698,9.52889e-05,9.52889e-05,9.52889e-05
23,1998.63,0.96289,0.62779,1.48884,0.98516,0.98337,0.99265,0.76807,0.91362,0.42287,1.38648,9.48377e-05,9.48377e-05,9.48377e-05
24,2084.4,0.93496,0.62635,1.46756,0.98315,0.97297,0.9922,0.77015,0.85858,0.41941,1.3611,9.43671e-05,9.43671e-05,9.43671e-05
25,2169.73,0.91408,0.60116,1.43958,0.95995,0.98753,0.98372,0.75284,0.8892,0.44271,1.36746,9.38772e-05,9.38772e-05,9.38772e-05
26,2255.01,0.91194,0.58188,1.43685,0.97934,0.98544,0.99333,0.79007,0.84064,0.39393,1.29222,9.33683e-05,9.33683e-05,9.33683e-05
27,2341.52,0.90649,0.59981,1.42665,0.97117,0.9896,0.99119,0.7574,0.90165,0.40655,1.36249,9.28405e-05,9.28405e-05,9.28405e-05
28,2427.16,0.91131,0.58984,1.44723,0.98523,0.99376,0.99449,0.78645,0.85658,0.39864,1.33568,9.22942e-05,9.22942e-05,9.22942e-05
29,2512.51,0.90073,0.59064,1.4328,0.98338,0.98434,0.99383,0.79682,0.84009,0.38944,1.31893,9.17296e-05,9.17296e-05,9.17296e-05
30,2599.52,0.89088,0.57466,1.41998,0.9853,0.99168,0.99397,0.78637,0.84272,0.3873,1.3185,9.11469e-05,9.11469e-05,9.11469e-05
31,2685.58,0.86969,0.55274,1.39838,0.99158,0.99376,0.99318,0.80459,0.81121,0.37646,1.28661,9.05463e-05,9.05463e-05,9.05463e-05
32,2772.8,0.84629,0.55165,1.37981,0.98556,0.99337,0.99436,0.79567,0.8067,0.37443,1.28809,8.99282e-05,8.99282e-05,8.99282e-05
33,2858.12,0.85006,0.54239,1.37829,0.97729,0.99376,0.99411,0.7976,0.81029,0.38127,1.30093,8.92928e-05,8.92928e-05,8.92928e-05
34,2943.65,0.86976,0.54984,1.38779,0.98008,0.98129,0.99127,0.77697,0.83825,0.39463,1.33064,8.86404e-05,8.86404e-05,8.86404e-05
35,3028.85,0.84413,0.54493,1.38345,0.98768,0.98545,0.9946,0.79985,0.802,0.37443,1.28129,8.79713e-05,8.79713e-05,8.79713e-05
36,3114.53,0.83545,0.53205,1.36416,0.97717,0.979,0.99251,0.79139,0.82405,0.3965,1.30875,8.72857e-05,8.72857e-05,8.72857e-05
37,3199.91,0.81722,0.52486,1.36123,0.99162,0.98387,0.99417,0.79946,0.79256,0.37396,1.29035,8.65839e-05,8.65839e-05,8.65839e-05
38,3285.13,0.80917,0.52461,1.3523,0.98651,0.98753,0.99428,0.78486,0.83209,0.37836,1.36941,8.58664e-05,8.58664e-05,8.58664e-05
39,3370.79,0.81832,0.52647,1.36177,0.97927,0.9821,0.99265,0.79861,0.81211,0.37566,1.31081,8.51333e-05,8.51333e-05,8.51333e-05
40,3456.37,0.8125,0.50771,1.35705,0.98139,0.98687,0.99363,0.79322,0.84336,0.39488,1.34345,8.43851e-05,8.43851e-05,8.43851e-05
41,3542.43,0.79614,0.51175,1.33741,0.97923,0.98028,0.99241,0.78062,0.83631,0.39798,1.35715,8.3622e-05,8.3622e-05,8.3622e-05
42,3628.8,0.78672,0.50107,1.3249,0.98417,0.98337,0.99313,0.82678,0.75058,0.35651,1.2178,8.28443e-05,8.28443e-05,8.28443e-05
43,3717,0.80073,0.51057,1.33438,0.98743,0.98015,0.99389,0.78908,0.82,0.38473,1.35045,8.20525e-05,8.20525e-05,8.20525e-05
44,3803.36,0.78895,0.49302,1.33592,0.99026,0.97921,0.99336,0.79555,0.81378,0.37381,1.36812,8.12468e-05,8.12468e-05,8.12468e-05
45,3888.96,0.7875,0.47987,1.32427,0.98543,0.98399,0.99291,0.7885,0.81403,0.39554,1.33414,8.04277e-05,8.04277e-05,8.04277e-05
46,3974.13,0.76295,0.49317,1.30443,0.97331,0.98574,0.99224,0.80875,0.78086,0.37858,1.29449,7.95954e-05,7.95954e-05,7.95954e-05
47,4059.69,0.7599,0.4797,1.31029,0.98145,0.99008,0.99467,0.82477,0.74991,0.35199,1.26122,7.87503e-05,7.87503e-05,7.87503e-05
48,4146.26,0.73879,0.48849,1.28678,0.98752,0.98742,0.99381,0.80014,0.76935,0.36762,1.29292,7.78929e-05,7.78929e-05,7.78929e-05
49,4232.75,0.76305,0.47987,1.31006,0.99102,0.98545,0.99467,0.8389,0.69952,0.33647,1.18377,7.70234e-05,7.70234e-05,7.70234e-05
50,4319.51,0.75426,0.4681,1.29464,0.98668,0.9896,0.99467,0.82037,0.7449,0.34616,1.23827,7.61423e-05,7.61423e-05,7.61423e-05
51,4404.6,0.74645,0.47194,1.28692,0.98363,0.98753,0.99376,0.81892,0.77094,0.36085,1.2847,7.525e-05,7.525e-05,7.525e-05
52,4490.41,0.74648,0.473,1.28375,0.97512,0.97763,0.99062,0.79493,0.80058,0.38916,1.30327,7.43468e-05,7.43468e-05,7.43468e-05
53,4576.76,0.72514,0.47142,1.27442,0.99525,0.98337,0.99471,0.81765,0.74341,0.35575,1.25336,7.34332e-05,7.34332e-05,7.34332e-05
54,4662.01,0.7428,0.46642,1.28574,0.9945,0.98545,0.99454,0.84095,0.69488,0.3288,1.18848,7.25094e-05,7.25094e-05,7.25094e-05
55,4748.26,0.72631,0.44949,1.26038,0.98345,0.98835,0.99418,0.83156,0.69167,0.33662,1.19291,7.15761e-05,7.15761e-05,7.15761e-05
