epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.318,1.67843,1.80943,2.19702,0.814,0.76385,0.85075,0.47846,1.54081,1.16312,2.08387,0.066764,3.32692e-05,3.32692e-05
2,294.228,1.40604,1.24573,1.90001,0.93519,0.88892,0.95581,0.58779,1.38335,0.74619,1.89989,0.033464,6.65953e-05,6.65953e-05
3,434.282,1.33408,1.09402,1.8425,0.91792,0.9136,0.96479,0.61239,1.26126,0.72219,1.76631,0.000163995,9.98925e-05,9.98925e-05
4,574.112,1.29986,1.04219,1.80211,0.93655,0.9112,0.97221,0.63785,1.2385,0.63932,1.74982,9.99023e-05,9.99023e-05,9.99023e-05
5,713.912,1.2724,0.98565,1.77903,0.94931,0.93029,0.97435,0.6635,1.13751,0.59283,1.67047,9.98264e-05,9.98264e-05,9.98264e-05
6,853.729,1.2053,0.9291,1.7108,0.94736,0.95619,0.98467,0.678,1.12993,0.55801,1.64566,9.97288e-05,9.97288e-05,9.97288e-05
7,993.787,1.19718,0.89809,1.71508,0.94543,0.95875,0.98504,0.67777,1.17648,0.56256,1.62285,9.96097e-05,9.96097e-05,9.96097e-05
8,1131.91,1.16683,0.86302,1.66788,0.94538,0.93806,0.97311,0.6726,1.0927,0.56608,1.64947,9.9469e-05,9.9469e-05,9.9469e-05
9,1270.96,1.16003,0.84748,1.66492,0.95498,0.97252,0.98911,0.72471,1.01969,0.50867,1.54038,9.93068e-05,9.93068e-05,9.93068e-05
10,1413.51,1.13229,0.80222,1.64291,0.95425,0.97093,0.98615,0.71442,1.03307,0.50731,1.55737,9.91232e-05,9.91232e-05,9.91232e-05
11,1552.73,1.11014,0.78952,1.62619,0.95074,0.97705,0.98336,0.71337,1.03763,0.4857,1.55454,9.89183e-05,9.89183e-05,9.89183e-05
12,1691.94,1.0928,0.77637,1.61388,0.95679,0.97274,0.99028,0.72564,0.97331,0.5014,1.46891,9.86922e-05,9.86922e-05,9.86922e-05
13,1831.6,1.06281,0.75148,1.58068,0.96097,0.97201,0.99015,0.72445,0.99842,0.47144,1.53122,9.84449e-05,9.84449e-05,9.84449e-05
14,1970.65,1.0741,0.75003,1.59794,0.97314,0.97888,0.99221,0.74854,0.95851,0.45789,1.44609,9.81765e-05,9.81765e-05,9.81765e-05
15,2110.79,1.06451,0.74546,1.58049,0.97447,0.97512,0.99175,0.72743,1.00447,0.46128,1.49805,9.78873e-05,9.78873e-05,9.78873e-05
16,2249.47,1.06189,0.73608,1.5691,0.98593,0.97779,0.99258,0.75213,0.97842,0.43624,1.46388,9.75773e-05,9.75773e-05,9.75773e-05
17,2389.54,1.03801,0.71605,1.55924,0.9776,0.97752,0.99273,0.75654,0.9299,0.46272,1.42791,9.72466e-05,9.72466e-05,9.72466e-05
18,2529.92,1.02637,0.70773,1.54836,0.97371,0.96875,0.99246,0.76265,0.90272,0.43476,1.42302,9.68955e-05,9.68955e-05,9.68955e-05
